,,,Q01,,Q02,,,Q03,,,Q04,,
,,,[1]=,[2]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[1]=,[2]=,
1,01QAR,630,2,2,2,2,2,2,2,2,,,16
2,02WAK,630,2,2,2,2,2,2,2,2,,,16
3,03EAY,630,2,2,2,2,2,2,2,2,,,16
4,04RIR,630,2,2,2,2,2,2,0,2,,,14
5,05TIS,630,2,2,2,2,2,2,2,2,,,16
:,,,,,,,,,,,,,
6,06YIS,630,2,2,0,2,2,0,0,0,,,8
7,07UON,630,2,2,2,2,2,2,2,2,,,16
8,08IKS,630,0,0,2,2,2,2,2,2,,,12
9,09OKM,630,2,2,2,2,2,2,2,2,,,16
10,10PKY,630,2,2,2,2,2,2,2,2,,,16
11,11AKY,630,2,2,0,0,2,,,,,,6
12,12SKH,630,2,2,2,2,2,2,0,2,,,14
13,13DKM,630,2,2,2,2,2,2,2,2,,,16
14,14FKR,630,0,2,,,,,,,,,2
15,15GKA,630,2,2,2,2,2,2,2,2,,,16
16,16HKY,630,2,2,0,0,2,2,1,2,,,11
17,17JSY,630,2,2,2,0,2,2,0,2,,,12
18,18KSK,630,2,2,2,2,2,2,2,2,,,16
19,19LSA,630,0,2,2,2,2,2,2,2,,,14
20,20ZSK,630,2,2,2,2,2,2,2,2,,,16
21,21XSK,630,2,2,2,2,2,2,0,2,,,14
22,22CTS,630,2,2,2,2,2,2,2,0,,,14
23,23VTM,630,0,2,,,,0,0,0,,,2
24,24BTH,630,2,2,2,2,2,2,2,2,,,16
25,25NTY,630,2,2,2,2,0,2,2,0,,,12
26,26MTH,630,2,0,2,0,0,0,2,2,,,8
27,27QNY,630,2,2,2,2,2,2,1,0,,,13
28,28WNS,630,2,2,2,0,2,2,0,0,,,10
29,29ENM,630,2,2,2,2,2,2,2,2,,,16
30,30RNR,630,2,2,2,2,2,2,2,2,,,16
31,31TNG,630,2,2,2,2,2,2,2,2,,,16
32,32YHK,630,2,0,2,0,0,2,2,2,,,10
33,33UHK,630,,,2,2,,,,,,,4
34,34IHY,630,0,2,0,,,0,0,0,,,2
35,35OMK,630,2,2,0,0,2,,,,,,6
36,36PMY,630,2,2,2,0,2,2,2,2,,,14
37,37AMS,630,2,2,2,2,2,2,2,0,,,14
38,38SMK,630,2,2,2,2,2,2,2,2,,,16
39,39DMK,630,0,2,2,2,2,2,2,2,,,14
40,40FYH,630,2,0,0,0,2,0,0,0,,,4
41,41GYR,630,2,2,2,2,2,2,2,2,,,16
42,42HWY,630,2,2,2,2,2,2,2,2,,,16
,,,,,,,,,,,,,
,,,1.66,1.76,1.70,1.54,1.84,1.74,1.47,1.53,,,12.33
,,,,,,,,,,,,,
,,,0.83,0.88,0.85,0.77,0.92,0.87,0.74,0.76,,,0.77
